fraction,mixed_domain_biomass,high_class_biomass,status
0.4111,629.1611206947658,1148.5985950514614,sensitivity; measured-range applicability to mapped domain is conditional
0.4999,517.3997533859136,944.566678186949,sensitivity; measured-range applicability to mapped domain is conditional
0.47,550.3151845055708,1004.6571966503316,sensitivity; measured-range applicability to mapped domain is conditional
0.5,517.2962734352365,944.3777648513117,sensitivity; measured-range applicability to mapped domain is conditional
