source_key,label,comparison_biomass_Mg_ha,ratio_target_biomass_Mg_ha,printed_target_biomass_Mg_ha,ratio_from_stock_area,ratio_from_printed_mean,excess_from_stock_area_Mg_ha,doi
Lewis2013,African network mean,395.7,1141.1185807997622,1129.8936170212767,2.8837972726807233,2.8554299141300903,745.4185807997621,10.1098/rstb.2012.0295
Malhi2006,Amazonian regional upper value,350.0,1141.1185807997622,1129.8936170212767,3.260338802285035,3.2282674772036475,791.1185807997622,10.1111/j.1365-2486.2006.01120.x
Malhi2006,Amazonian regional lower value,200.0,1141.1185807997622,1129.8936170212767,5.705592903998811,5.649468085106383,941.1185807997622,10.1111/j.1365-2486.2006.01120.x
