basal_area_m2_per_ha,basal_area_weighted_height_m,cylinder_volume_m3_per_ha,required_whole_wood_ratio,scenario_whole_wood_ratio_min,scenario_whole_wood_ratio_max,scenario_carbon_min_mgc_per_ha,scenario_carbon_max_mgc_per_ha,required_branch_to_stem_volume_min,required_branch_to_stem_volume_max,required_stem_ratio_at_branch_fraction,empirical_status
30,30,900,2.1131825570365965,0.7142857142857143,1.0714285714285714,181.28571428571428,271.9285714285714,2.5219709283943277,4.282956392591491,1.183382231940494,specified sensitivity scenario; not an observed stand
40,30,1200,1.5848869177774474,0.7142857142857143,1.0714285714285714,241.7142857142857,362.57142857142856,1.6414781962957457,2.9622172944436183,0.8875366739553706,specified sensitivity scenario; not an observed stand
50,40,2000,0.9509321506664685,0.7142857142857143,1.0714285714285714,402.8571428571429,604.2857142857142,0.5848869177774476,1.3773303766661713,0.5325220043732224,specified sensitivity scenario; not an observed stand
