class_id,area_ha,stock_pgc,carbon_density_mgc_ha,dry_agb_mg_ha,printed_density_mgc_ha,ratio_within_printed_interval,printed_density_within_printed_interval
5,531449420.52,285.03,536.3257329758882,1141.1185807997622,531.05,True,True
4,668896502.68,281.76,421.2310856329802,896.2363524105962,417.09,True,True
2,419412183.77,105.54,251.6378972382851,535.3997813580535,249.16,False,False
3,350688503.17,40.66,115.94335038776458,246.6879795484353,114.8,False,False
1,828606996.75,10.96,13.227018409194962,28.142592359989283,13.1,True,True
